#xi phi g4
-7.900000 3.330088 0.966121
-7.900000 3.345796 0.960568
-7.900000 3.361504 0.954678
-7.900000 3.377212 0.948473
-7.900000 3.392920 0.941978
-7.900000 3.408628 0.935219
-7.900000 3.424336 0.928222
-7.900000 3.440044 0.921016
-7.900000 3.455752 0.913627
-7.900000 3.471460 0.906086
-7.900000 3.487168 0.898423
-7.900000 3.502876 0.890667
-7.900000 3.518584 0.882849
-7.900000 3.534292 0.875000
-7.900000 3.550000 0.867151
-7.900000 3.565708 0.859333
-7.900000 3.581416 0.851577
-7.900000 3.597124 0.843914
-7.900000 3.612832 0.836373
-7.900000 3.628540 0.828984
-7.900000 3.644247 0.821777
-7.900000 3.659955 0.814781
-7.900000 3.675663 0.808022
-7.900000 3.691371 0.801527
-7.900000 3.707079 0.795322
-7.900000 3.722787 0.789431
-7.900000 3.738495 0.783879
-7.900000 3.754203 0.778686
-7.900000 3.769911 0.773873
-7.900000 3.785619 0.769459
-7.900000 3.801327 0.765462
-7.900000 3.817035 0.761896
-7.900000 3.832743 0.758778
-7.900000 3.848451 0.756118
-7.900000 3.864159 0.753927
-7.900000 3.879867 0.752214
-7.900000 3.895575 0.750986
-7.900000 3.911283 0.750247
-7.900000 3.926991 0.750000
-7.900000 3.942699 0.750247
-7.900000 3.958407 0.750986
-7.900000 3.974115 0.752214
-7.900000 3.989823 0.753927
-7.900000 4.005531 0.756118
-7.900000 4.021239 0.758778
-7.900000 4.036947 0.761896
-7.900000 4.052655 0.765462
-7.900000 4.068362 0.769459
-7.900000 4.084070 0.773873
-7.900000 4.099778 0.778686
-7.900000 4.115486 0.783879
-7.900000 4.131194 0.789431
-7.900000 4.146902 0.795322
-7.900000 4.162610 0.801527
-7.900000 4.178318 0.808022
-7.900000 4.194026 0.814781
-7.900000 4.209734 0.821777
-7.900000 4.225442 0.828984
-7.900000 4.241150 0.836373
-7.900000 4.256858 0.843914
-7.900000 4.272566 0.851577
-7.900000 4.288274 0.859333
-7.900000 4.303982 0.867151
-7.900000 4.319690 0.875000
-7.900000 4.335398 0.882849
-7.900000 4.351106 0.890667
-7.900000 4.366814 0.898423
-7.900000 4.382522 0.906086
-7.900000 4.398230 0.913627
-7.900000 4.413938 0.921016
-7.900000 4.429646 0.928222
-7.900000 4.445354 0.935219
-7.900000 4.461062 0.941978
-7.900000 4.476770 0.948473
-7.900000 4.492477 0.954678
-7.900000 4.508185 0.960568
-7.900000 4.523893 0.966121
-7.900000 4.539601 0.971314
-7.900000 4.555309 0.976127
-7.900000 4.571017 0.980541
-7.900000 4.586725 0.984538
-7.900000 4.602433 0.988103
-7.900000 4.618141 0.991222
-7.900000 4.633849 0.993882
-7.900000 4.649557 0.996073
-7.900000 4.665265 0.997786
-7.900000 4.680973 0.999014
-7.900000 4.696681 0.999753
-7.900000 4.712389 1.000000
-7.900000 4.728097 0.999753
-7.900000 4.743805 0.999014
-7.900000 4.759513 0.997786
-7.900000 4.775221 0.996073
-7.900000 4.790929 0.993882
-7.900000 4.806637 0.991222
-7.900000 4.822345 0.988103
-7.900000 4.838053 0.984538
-7.900000 4.853761 0.980541
-7.900000 4.869469 0.976127
-7.900000 4.885177 0.971314
-7.900000 4.900885 0.966121
-7.900000 4.916593 0.960568
-7.900000 4.932300 0.954678
-7.900000 4.948008 0.948473
-7.900000 4.963716 0.941978
-7.900000 4.979424 0.935219
-7.900000 4.995132 0.928222
-7.900000 5.010840 0.921016
-7.900000 5.026548 0.913627
-7.900000 5.042256 0.906086
-7.900000 5.057964 0.898423
-7.900000 5.073672 0.890667
-7.900000 5.089380 0.882849
-7.900000 5.105088 0.875000
-7.900000 5.120796 0.867151
-7.900000 5.136504 0.859333
-7.900000 5.152212 0.851577
-7.900000 5.167920 0.843914
-7.900000 5.183628 0.836373
-7.900000 5.199336 0.828984
-7.900000 5.215044 0.821777
-7.900000 5.230752 0.814781
-7.900000 5.246460 0.808022
-7.900000 5.262168 0.801527
-7.900000 5.277876 0.795322
-7.900000 5.293584 0.789431
-7.900000 5.309292 0.783879
-7.900000 5.325000 0.778686
-7.900000 5.340708 0.773873
-7.900000 5.356415 0.769459
-7.900000 5.372123 0.765462
-7.900000 5.387831 0.761896
-7.900000 5.403539 0.758778
-7.900000 5.419247 0.756118
-7.900000 5.434955 0.753927
-7.900000 5.450663 0.752214
-7.900000 5.466371 0.750986
-7.900000 5.482079 0.750247
-7.900000 5.497787 0.750000
-7.900000 5.513495 0.750247
-7.900000 5.529203 0.750986
-7.900000 5.544911 0.752214
-7.900000 5.560619 0.753927
-7.900000 5.576327 0.756118
-7.900000 5.592035 0.758778
-7.900000 5.607743 0.761896
-7.900000 5.623451 0.765462
-7.900000 5.639159 0.769459
-7.900000 5.654867 0.773873
-7.900000 5.670575 0.778686
-7.900000 5.686283 0.783879
-7.900000 5.701991 0.789431
-7.900000 5.717699 0.795322
-7.900000 5.733407 0.801527
-7.900000 5.749115 0.808022
-7.900000 5.764823 0.814781
-7.900000 5.780530 0.821777
-7.900000 5.796238 0.828984
-7.900000 5.811946 0.836373
-7.900000 5.827654 0.843914
-7.900000 5.843362 0.851577
-7.900000 5.859070 0.859333
-7.900000 5.874778 0.867151
-7.900000 5.890486 0.875000
-7.900000 5.906194 0.882849
-7.900000 5.921902 0.890667
-7.900000 5.937610 0.898423
-7.900000 5.953318 0.906086
-7.900000 5.969026 0.913627
-7.900000 5.984734 0.921016
-7.900000 6.000442 0.928222
-7.900000 6.016150 0.935219
-7.900000 6.031858 0.941978
-7.900000 6.047566 0.948473
-7.900000 6.063274 0.954678
-7.900000 6.078982 0.960568
-7.900000 6.094690 0.966121
-7.900000 6.110398 0.971314
-7.900000 6.126106 0.976127
-7.900000 6.141814 0.980541
-7.900000 6.157522 0.984538
-7.900000 6.173230 0.988103
-7.900000 6.188938 0.991222
-7.900000 6.204645 0.993882
-7.900000 6.220353 0.996073
-7.900000 6.236061 0.997786
-7.900000 6.251769 0.999014
